Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,npxG,xAG,PrgC_standard,PrgP_standard,PrgR_standard,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Total Cmp,Total Cmp%,TotDist_passing,Short Cmp%,Medium Cmp%,Long Cmp%,KP,1/3_passing,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_defense,Lost_defense,Blocks,Sh_defense,Pass_defense,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att (Take-Ons),Succ%,Tkld%,Carries,TotDist (Carries),PrgDist (Carries),PrgC_possession,1/3 (Carries),CPA,Mis,Dis,Rec,PrgR (Receiving),Fls,Fld,Off,Crs,Recov,Won,Lost_misc,Won%,Transfer_Value
Erling Haaland,no NOR,Manchester City,FW,24.0,28,28,2480,21,3,2,0,20.8,18.4,2.8,19,18,103,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,1310,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1,150.0
Ezri Konsa,eng ENG,Aston Villa,DF,27.0,31,30,2666,1,0,0,0,0.9,0.9,0.4,17,77,11,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1424,92.8,23916,96.4,95.7,66.7,5,95,1,0,77,23,0.78,3,0.1,32,17,22,4,18,10,8,21,1756,224,825,840,100,20,18,44.4,38.9,1021,5080,2568,17,13,2,17,10,1223,11,6,42,0,5,89,31,22,58.5,40.0
Gabriel Magalhães,br BRA,Arsenal,DF,27.0,28,28,2363,3,1,4,0,2.6,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,4470,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9,70.0
Jacob Ramsey,eng ENG,Aston Villa,"FW,MF",23.0,27,18,1516,1,3,2,0,1.5,1.5,2.1,57,67,105,0.06,0.18,0.09,0.13,N/a,N/a,N/a,N/a,22.2,0.24,0.06,16.8,478,85.4,6389,91.5,84.8,75.0,20,31,21,1,67,51,3.03,8,0.47,30,15,20,10,21,3,18,7,725,12,136,259,343,67,42,57.1,23.8,473,3175,1627,57,31,19,39,21,552,105,12,25,5,10,77,6,10,37.5,30.0
James Maddison,eng ENG,Tottenham,MF,28.0,31,21,1809,9,7,6,0,5.8,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,N/a,N/a,N/a,N/a,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,164,95,4.73,18,0.9,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,42.9,44.2,1026,5128,2279,45,39,20,23,25,1125,95,32,64,4,98,76,5,7,41.7,60.0
Jarrod Bowen,eng ENG,West Ham,"FW,MF",28.0,30,30,2631,9,7,1,0,7.4,6.7,6.3,97,85,183,0.31,0.24,0.25,0.22,N/a,N/a,N/a,N/a,40.0,1.03,0.11,17.8,510,71.8,8497,83.9,76.4,55.1,49,37,42,7,85,102,3.49,13,0.44,36,23,37,20,21,3,18,16,1098,25,125,401,596,150,115,34.8,56.5,651,4775,2295,97,43,55,67,68,718,183,18,47,9,100,120,11,44,20.0,50.0
Joško Gvardiol,hr CRO,Manchester City,DF,23.0,34,33,3007,5,0,2,0,4.4,4.0,2.0,81,251,98,0.15,0.0,0.13,0.06,N/a,N/a,N/a,N/a,29.7,0.33,0.14,13.0,2321,90.9,37878,94.4,93.2,68.9,25,237,20,1,251,69,2.07,7,0.21,51,34,37,18,40,20,20,38,2903,142,725,1474,727,85,40,57.5,35.0,1886,10024,5715,81,92,13,25,16,2132,98,13,23,2,19,132,48,33,59.3,75.0
Kai Havertz,de GER,Arsenal,"FW,MF",25.0,21,21,1839,9,3,4,0,9.4,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,59,41,2.01,3,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,23.7,63.2,411,1957,922,34,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9,70.0
Kevin De Bruyne,be BEL,Manchester City,"MF,FW",33.0,25,17,1538,4,7,2,0,3.8,3.8,7.6,47,135,137,0.23,0.41,0.22,0.44,N/a,N/a,N/a,N/a,28.6,0.82,0.08,21.7,799,76.0,13542,85.5,76.8,57.8,51,80,51,11,135,104,6.08,11,0.64,17,9,23,18,8,0,8,7,1210,10,73,408,739,71,32,37.5,50.0,711,3573,1860,47,45,18,24,26,907,137,16,16,5,122,56,4,15,21.1,50.0
Kyle Walker,eng ENG,Manchester City,DF,34.0,15,9,970,0,0,3,0,0.1,0.1,0.4,12,64,11,0.0,0.0,0.01,0.04,N/a,N/a,N/a,N/a,40.0,0.19,0.0,27.7,724,87.7,11928,94.6,91.3,51.2,7,63,7,4,64,17,1.58,0,0.0,17,10,26,12,13,4,9,3,892,26,197,473,228,5,6,50.0,33.3,499,2284,1106,12,13,0,9,2,630,11,6,5,1,14,46,9,7,56.3,15.0
Leon Bailey,jm JAM,Aston Villa,"FW,MF",27.0,23,14,1138,1,2,3,0,1.7,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,2540,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0,50.0
Marc Guéhi,eng ENG,Crystal Palace,DF,24.0,32,32,2879,3,2,9,1,1.9,1.9,1.2,22,126,8,0.09,0.06,0.06,0.04,N/a,N/a,N/a,N/a,50.0,0.22,0.21,10.3,1377,83.3,26335,91.1,88.8,55.3,12,127,11,3,126,38,1.19,5,0.16,56,31,45,15,53,22,31,25,1994,292,987,881,137,31,14,78.6,14.3,1065,5274,2804,22,17,1,16,16,1243,8,22,26,1,13,135,66,50,56.9,60.0
Martin Ødegaard,no NOR,Arsenal,MF,26.0,27,24,2130,2,7,4,0,4.5,3.8,5.2,81,240,144,0.08,0.3,0.19,0.22,N/a,N/a,N/a,N/a,30.2,0.55,0.02,18.8,1140,82.9,17674,90.5,87.4,53.4,57,120,81,5,240,115,4.86,14,0.59,19,11,24,20,5,0,5,4,1549,7,107,655,801,105,55,41.8,54.5,1068,6728,3388,81,73,23,33,38,1229,144,10,23,1,81,91,8,7,53.3,90.0
